CRCode,CRName,Latitude,Longitude
NZL,New Zealand,-46.12083054,169.9694366
NZL,New Zealand,-45.87416077,170.5036163
NZL,New Zealand,-45.03023148,168.6627045
NZL,New Zealand,-44.26667023,171.1333313
NZL,New Zealand,-43.53332901,172.6333313
AUS,Australia,-41.88341904,145.3362274
CHL,Chile,-41.46984863,-72.9447403
NZL,New Zealand,-41.28664017,174.7755737
ARG,Argentina,-38.95161057,-68.05909729
AUS,Australia,-38.40000153,145.1666718
AUS,Australia,-38.33332825,144.2666626
AUS,Australia,-38.33084869,144.3263855
AUS,Australia,-38.26667023,145.8666687
AUS,Australia,-38.23476028,146.394989
AUS,Australia,-38.14710999,144.3606873
AUS,Australia,-37.81819153,145.0017548
AUS,Australia,-37.81399918,144.9633179
NZL,New Zealand,-37.78332901,175.2833252
AUS,Australia,-37.06708908,144.2168427
NZL,New Zealand,-36.8666687,174.7666626
AUS,Australia,-36.38047028,145.3986664
AUS,Australia,-36.36565018,148.826767
CHL,Chile,-35.43333054,-71.66667175
AUS,Australia,-35.35493088,149.2319946
AUS,Australia,-35.1853714,143.3508148
AUS,Australia,-35.12577057,147.3537445
AUS,Australia,-34.92866135,138.5986328
ARG,Argentina,-34.92145157,-57.95452881
ARG,Argentina,-34.8956604,-60.01667023
URY,Uruguay,-34.83346176,-56.16735077
ARG,Argentina,-34.66666794,-58.66666794
ARG,Argentina,-34.61315155,-58.3772316
ARG,Argentina,-34.58332825,-58.3833313
AUS,Australia,-34.42399979,150.8934479
AUS,Australia,-34.18550873,142.1625061
ZAF,South Africa,-34.08333206,18.85000038
ZAF,South Africa,-34.05064011,24.91950035
ZAF,South Africa,-34.03627014,23.04713059
ZAF,South Africa,-33.9346199,18.86676025
ZAF,South Africa,-33.92583847,18.42321968
ZAF,South Africa,-33.91799164,25.57007027
AUS,Australia,-33.86785126,151.2073212
ZAF,South Africa,-33.64651108,19.44852066
ZAF,South Africa,-33.59067154,22.20140076
ZAF,South Africa,-33.46080017,18.72714043
CHL,Chile,-33.42628098,-70.56655884
ZAF,South Africa,-33.30421829,26.53276062
ZAF,South Africa,-33.01166916,17.94420052
ARG,Argentina,-32.94681931,-60.63932037
ARG,Argentina,-32.89083862,-68.82717133
AUS,Australia,-31.95223999,115.8613968
AUS,Australia,-31.0904808,150.9290466
ZAF,South Africa,-30.86359978,30.37051964
ZAF,South Africa,-30.74136925,30.45499039
AUS,Australia,-30.38332939,153.0666656
ARG,Argentina,-30.21328926,-61.87596893
AUS,Australia,-30.11058044,153.2006683
BRA,Brazil,-30.03306007,-51.22999954
ZAF,South Africa,-29.85790062,31.0291996
BRA,Brazil,-29.68416977,-53.80693817
ZAF,South Africa,-29.66433907,17.88649941
ZAF,South Africa,-29.61677933,30.3927803
LSO,Lesotho,-29.31666946,27.48332977
ZAF,South Africa,-29.12105942,26.2140007
ZAF,South Africa,-28.88648033,31.46990013
ZAF,South Africa,-28.76197052,31.89328957
ZAF,South Africa,-28.73225975,24.76231957
BRA,Brazil,-28.48250008,-48.78083038
AUS,Australia,-28.30042076,153.5706329
AUS,Australia,-28.03333092,152.9333344
AUS,Australia,-28.00028992,153.4308777
ZAF,South Africa,-27.98644066,26.70660973
BRA,Brazil,-27.87083054,-54.48139191
ZAF,South Africa,-27.76951981,30.79165077
ZAF,South Africa,-27.75795937,29.93180084
ZAF,South Africa,-27.69569016,23.0492897
BRA,Brazil,-27.59667015,-48.54917145
BRA,Brazil,-27.58612061,-48.52334976
AUS,Australia,-27.48855019,153.0365448
ARG,Argentina,-27.48060036,-58.83409882
AUS,Australia,-27.46793938,153.0280914
ARG,Argentina,-27.36708069,-55.89608002
BRA,Brazil,-27.34361076,-51.61193848
PRY,Paraguay,-27.33333015,-55.90000153
ZAF,South Africa,-27.19739914,25.98311043
ZAF,South Africa,-27.18870926,25.32930946
ZAF,South Africa,-26.93366051,29.24151993
BRA,Brazil,-26.91943932,-49.0661087
BRA,Brazil,-26.89888954,-48.65417099
ZAF,South Africa,-26.81357956,27.81694984
PRY,Paraguay,-26.78333092,-56.93333054
ZAF,South Africa,-26.71666908,27.10000038
ZAF,South Africa,-26.71170998,27.83794975
ZAF,South Africa,-26.54999924,29.16666985
ZAF,South Africa,-26.53333092,29.98332977
ZAF,South Africa,-26.50476074,28.35920906
ZAF,South Africa,-26.43137932,28.47713089
ZAF,South Africa,-26.26722145,28.12194443
ZAF,South Africa,-26.20227051,28.0436306
ZAF,South Africa,-26.16250038,27.87249947
ZAF,South Africa,-26.05447006,28.05891037
MOZ,Mozambique,-25.96528053,32.58916855
ZAF,South Africa,-25.9636097,28.13777924
ZAF,South Africa,-25.85890961,28.18577004
PRY,Paraguay,-25.78333092,-55.06666946
ZAF,South Africa,-25.77507019,29.46482086
PRY,Paraguay,-25.75,-56.43333054
ZAF,South Africa,-25.7448597,28.18782997
PRY,Paraguay,-25.64999962,-54.70000076
ZAF,South Africa,-25.63472939,27.78022003
ZAF,South Africa,-25.61692047,27.99471092
BRA,Brazil,-25.54777908,-54.58805847
PRY,Paraguay,-25.51666641,-54.6166687
ZAF,South Africa,-25.47447968,30.97032929
BRA,Brazil,-25.42778015,-49.27305985
BRA,Brazil,-25.34806061,-54.23778153
PRY,Paraguay,-25.31666946,-57.59999847
PRY,Paraguay,-25.30065918,-57.63591003
PRY,Paraguay,-25.26667023,-57.66667175
ZAF,South Africa,-25.0977993,30.45966911
BRA,Brazil,-24.79888916,-53.30667114
ARG,Argentina,-24.78590012,-65.41165924
ZAF,South Africa,-24.7245903,31.19939041
BRA,Brazil,-24.7136097,-53.74306107
ZAF,South Africa,-24.70000076,28.39999962
BWA,Botswana,-24.62693977,25.86556053
ZAF,South Africa,-24.59165001,27.41155052
PRY,Paraguay,-24.51667023,-55.70000076
AUS,Australia,-24.41666985,150.5
PRY,Paraguay,-24.10000038,-57.08332825
BRA,Brazil,-24.09305954,-46.62083054
PRY,Paraguay,-24.04999924,-54.34999847
BRA,Brazil,-23.96083069,-46.33361054
ZAF,South Africa,-23.90447998,29.46884918
ZAF,South Africa,-23.83321953,30.16350937
AUS,Australia,-23.69747925,133.8836212
BRA,Brazil,-23.66333008,-52.60499954
CHL,Chile,-23.64999962,-70.40000153
BRA,Brazil,-23.60388947,-46.91917038
BRA,Brazil,-23.54750061,-46.6361084
BRA,Brazil,-23.42527962,-51.93861008
BRA,Brazil,-23.41666985,-54.65000153
BRA,Brazil,-23.31027985,-51.16278076
BRA,Brazil,-23.09860992,-48.92583084
BRA,Brazil,-22.92305946,-53.13721848
BRA,Brazil,-22.90555954,-47.06082916
BRA,Brazil,-22.90278053,-43.20750046
BRA,Brazil,-22.88582993,-48.4449997
BRA,Brazil,-22.85222054,-43.77528
BRA,Brazil,-22.59860992,-48.80028153
BRA,Brazil,-22.55417061,-45.77999878
BRA,Brazil,-22.52693939,-41.9449997
BRA,Brazil,-22.46888924,-44.44667053
CHL,Chile,-22.46666908,-68.93332672
BRA,Brazil,-22.37083054,-41.78694153
PRY,Paraguay,-22.35000038,-60.03332901
BRA,Brazil,-22.22916985,-50.89305878
PRY,Paraguay,-22.13332939,-56.51667023
BRA,Brazil,-21.79443932,-48.17556
BRA,Brazil,-21.66917038,-42.07611084
BRA,Brazil,-21.46805954,-49.22082901
BRA,Brazil,-21.38916969,-42.69667053
BRA,Brazil,-21.20889092,-50.43278122
BRA,Brazil,-21.17749977,-47.81027985
BRA,Brazil,-21.13777924,-48.97277832
BRA,Brazil,-20.97193909,-46.11888886
BRA,Brazil,-20.86360931,-46.38806152
BRA,Brazil,-20.81971932,-49.37944031
BRA,Brazil,-20.75111008,-51.67832947
BRA,Brazil,-20.73722076,-48.91471863
BRA,Brazil,-20.58139038,-47.85472107
BRA,Brazil,-20.55722046,-48.56777954
BRA,Brazil,-20.53861046,-47.40082932
BRA,Brazil,-20.4477787,-52.8777771
BRA,Brazil,-20.32971954,-40.29249954
MUS,Mauritius,-20.18972015,57.71443939
MUS,Mauritius,-20.16193962,57.49888992
BRA,Brazil,-20.13888931,-44.88388825
BRA,Brazil,-20.02471924,-48.94055939
BRA,Brazil,-19.92082977,-43.93777847
BRA,Brazil,-19.61916924,-43.22694016
BRA,Brazil,-19.59333038,-46.94055939
BRA,Brazil,-19.39110947,-40.07221985
AUS,Australia,-19.26638985,146.8056946
BRA,Brazil,-18.91860962,-48.27722168
BRA,Brazil,-18.77499962,-42.93249893
ZWE,Zimbabwe,-17.82934952,31.05389023
BOL,Bolivia,-17.79999924,-63.16667175
BRA,Brazil,-17.56944084,-52.55110931
PYF,French Polynesia,-17.53333092,-149.5666656
BRA,Brazil,-16.67860985,-49.25389099
BOL,Bolivia,-16.5,-68.15000153
BRA,Brazil,-16.32666969,-48.95278168
BRA,Brazil,-16.25250053,-47.95027924
MWI,Malawi,-15.78499031,35.00854111
BRA,Brazil,-15.77972031,-47.92972183
BRA,Brazil,-15.56305981,-39.30250168
BRA,Brazil,-15.56221962,-49.9486084
PER,Peru,-15.21193981,-75.1102829
AGO,Angola,-14.91716957,13.49250031
MWI,Malawi,-13.9669199,33.78725052
