asset,band,count,mean,std,min,p25,median,p75,max
Angelina_Forest,yod,190,2018.6684210526316,2.044389660967932,2017.0,2017.0,2018.0,2020.0,2024.0
Angelina_Forest,mag,190,285.2842105263158,138.50667193945984,35.0,174.25,277.5,376.75,744.0
Angelina_Forest,dur,190,4.5473684210526315,2.6188322871990977,1.0,2.0,5.0,7.75,8.0
Austin_Urban,yod,149,2018.1073825503356,1.791632076613539,2017.0,2017.0,2017.0,2018.0,2024.0
Austin_Urban,mag,149,274.59060402684565,146.69115679612554,19.0,165.0,259.0,374.0,728.0
Austin_Urban,dur,149,4.684563758389261,2.4359920000809443,1.0,2.0,5.0,7.0,8.0
Bend_Urban,yod,75,2018.7066666666667,2.3310846307149715,2017.0,2017.0,2018.0,2019.5,2024.0
Bend_Urban,mag,75,222.78666666666666,67.26530424784798,43.0,190.5,222.0,260.0,398.0
Bend_Urban,dur,75,3.453333333333333,2.510210261224257,1.0,2.0,2.0,5.0,8.0
Bootleg_Fire,yod,817,2018.3684210526317,1.61772058957844,2017.0,2017.0,2018.0,2019.0,2024.0
Bootleg_Fire,mag,817,308.0893512851897,109.36898388339759,18.0,222.0,322.0,392.0,560.0
Bootleg_Fire,dur,817,5.691554467564259,2.3396616850042355,1.0,5.0,6.0,8.0,8.0
CampFire_CA,yod,773,2019.0556274256146,2.0027820303738317,2017.0,2018.0,2019.0,2019.0,2024.0
CampFire_CA,mag,773,269.17723156532986,121.81108907685693,16.0,186.0,248.0,334.0,735.0
CampFire_CA,dur,773,3.0297542043984476,2.2514378482658426,1.0,1.0,2.0,5.0,8.0
CoosBay_Forest,yod,163,2019.7484662576687,2.584388141284582,2017.0,2017.0,2019.0,2022.0,2024.0
CoosBay_Forest,mag,163,366.319018404908,155.85193167755548,14.0,250.0,403.0,493.5,665.0
CoosBay_Forest,dur,163,2.723926380368098,2.1572771510022983,1.0,1.0,2.0,4.0,8.0
Dallas_TX,yod,105,2018.1809523809525,1.8245988594023692,2017.0,2017.0,2017.0,2019.0,2024.0
Dallas_TX,mag,105,323.6666666666667,176.04110270408398,45.0,170.0,299.0,435.0,902.0
Dallas_TX,dur,105,4.20952380952381,2.4599467206589507,1.0,2.0,4.0,6.0,8.0
DixieFire_CA,yod,1078,2019.0222634508348,1.588299541451986,2017.0,2018.0,2019.0,2020.0,2024.0
DixieFire_CA,mag,1078,306.08627087198516,127.41658472832394,34.0,202.25,302.0,405.75,629.0
DixieFire_CA,dur,1078,4.619666048237477,2.415945613924488,1.0,3.0,5.0,6.0,8.0
Houston_TX,yod,158,2018.746835443038,1.8519121451014275,2017.0,2017.0,2018.0,2020.0,2024.0
Houston_TX,mag,158,361.10759493670884,218.6592223345203,39.0,161.75,323.5,535.25,937.0
Houston_TX,dur,158,4.056962025316456,2.421537514734551,1.0,2.0,4.0,6.0,8.0
MosquitoFire_CA,yod,366,2019.9344262295083,2.278688524590164,2017.0,2017.25,2020.0,2022.0,2024.0
MosquitoFire_CA,mag,366,312.1475409836066,122.69244984126611,20.0,221.0,318.5,387.25,702.0
MosquitoFire_CA,dur,366,4.942622950819672,2.3549709556799656,1.0,2.25,5.0,7.0,8.0
MtHood_Forest,yod,22,2018.590909090909,1.8987816885641295,2017.0,2017.0,2018.0,2019.0,2023.0
MtHood_Forest,mag,22,393.54545454545456,180.47883967448354,98.0,270.75,361.0,568.5,688.0
MtHood_Forest,dur,22,3.5,2.29128784747792,1.0,2.0,3.0,5.0,8.0
Portland_Urban,yod,96,2018.75,1.973786547054502,2017.0,2017.0,2018.0,2020.0,2024.0
Portland_Urban,mag,96,292.9375,146.9310221172393,22.0,198.75,254.0,403.5,676.0
Portland_Urban,dur,96,3.875,2.4119926064010504,1.0,2.0,3.0,5.25,8.0
Sacramento_Urban,yod,396,2018.45202020202,2.2122754316428286,2017.0,2017.0,2017.0,2019.0,2024.0
Sacramento_Urban,mag,396,322.4570707070707,147.4453868266815,34.0,207.75,308.5,419.0,763.0
Sacramento_Urban,dur,396,3.8686868686868685,2.62234556370516,1.0,1.0,3.0,6.0,8.0
Santiam_Fire,yod,906,2019.1611479028697,1.7360202915687444,2017.0,2017.0,2019.0,2021.0,2024.0
Santiam_Fire,mag,906,422.6081677704194,179.79544392209118,24.0,273.25,448.0,574.75,873.0
Santiam_Fire,dur,906,4.392935982339956,2.6611659858585033,1.0,1.0,5.0,7.0,8.0
ShastaTrinity_Forest,yod,541,2018.2439926062846,1.1598592686402491,2017.0,2017.0,2018.0,2019.0,2024.0
ShastaTrinity_Forest,mag,541,305.44547134935306,135.59247440529597,27.0,201.0,295.0,394.0,696.0
ShastaTrinity_Forest,dur,541,3.345656192236599,2.400077899248617,1.0,1.0,3.0,5.0,8.0
